Bee index ,bee colony,task,Trails,Position of stimulus,response (1= correct; 0= incorrect),,
1,1,bigger-than,1,6,0,,
1,1,bigger-than,1,3,1,,
1,1,bigger-than,1,6,0,,
1,1,bigger-than,1,5,1,,
1,1,bigger-than,1,4,0,,
1,1,bigger-than,1,2,0,,
1,1,bigger-than,1,3,1,,
1,1,bigger-than,1,5,1,,
1,1,bigger-than,2,5,0,,
1,1,bigger-than,2,6,1,,
1,1,bigger-than,2,5,0,,
1,1,bigger-than,2,2,1,,
1,1,bigger-than,2,6,1,,
1,1,bigger-than,2,5,0,,
1,1,bigger-than,2,4,1,,
1,1,bigger-than,3,4,0,,
1,1,bigger-than,3,2,1,,
1,1,bigger-than,4,5,0,,
1,1,bigger-than,4,2,0,,
1,1,bigger-than,4,6,0,,
1,1,bigger-than,4,3,1,,
1,1,bigger-than,4,5,1,,
1,1,bigger-than,4,6,0,,
1,1,bigger-than,4,5,1,,
1,1,bigger-than,4,4,1,,
1,1,bigger-than,5,4,1,,
1,1,bigger-than,5,1,0,,
1,1,bigger-than,5,4,1,,
1,1,bigger-than,5,5,1,,
1,1,bigger-than,5,6,1,,
1,1,bigger-than,6,5,1,,
1,1,bigger-than,6,4,1,,
1,1,bigger-than,6,6,0,,
1,1,bigger-than,7,6,0,,
1,1,bigger-than,7,3,1,,
1,1,bigger-than,7,2,1,,
1,1,bigger-than,7,4,0,,
1,1,bigger-than,7,2,1,,
1,1,bigger-than,7,6,0,,
1,1,bigger-than,8,5,1,,
1,1,bigger-than,8,6,1,,
1,1,bigger-than,8,3,0,,
1,1,bigger-than,8,2,0,,
1,1,bigger-than,8,4,0,,
1,1,bigger-than,8,1,1,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,6,0,,
1,1,bigger-than,9,4,0,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,6,0,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,4,0,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,6,0,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,6,0,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,2,1,,
1,1,bigger-than,9,4,0,,
1,1,bigger-than,9,5,1,,
1,1,bigger-than,9,3,0,,
1,1,bigger-than,9,6,0,,
1,1,bigger-than,10,6,1,,
1,1,bigger-than,10,5,0,,
1,1,bigger-than,10,6,1,,
1,1,bigger-than,10,1,1,,
1,1,bigger-than,10,4,0,,
1,1,bigger-than,10,6,1,,
1,1,bigger-than,10,5,0,,
1,1,bigger-than,10,4,0,,
1,1,bigger-than,10,1,1,,
1,1,bigger-than,10,4,0,,
1,1,bigger-than,10,5,0,,
1,1,bigger-than,10,6,1,,
1,1,bigger-than,10,3,1,,
1,1,bigger-than,11,4,1,,
1,1,bigger-than,11,5,0,,
1,1,bigger-than,11,2,1,,
1,1,bigger-than,11,5,0,,
1,1,bigger-than,11,5,0,,
1,1,bigger-than,11,4,1,,
1,1,bigger-than,11,5,0,,
1,1,bigger-than,11,3,1,,
