language,latitude,longitude
mss,37.5,-120.0
wch,-22.5,-62.5833333333
kob,-5.16666666667,144.333333333
apu,-9.0,-67.0
kor,37.5,128.0
squ,49.6666666667,-123.166666667
map,-38.0,-72.0
tuk,-5.5,123.5
djp,-12.6666666667,136.0
knr,12.0,13.0
lkt,43.8333333333,-101.833333333
shk,-7.5,-75.0
lug,3.08333333333,30.9166666667
pai,22.5,120.833333333
yor,8.0,4.33333333333
diz,6.16666666667,36.5
tur,39.0,35.0
fin,62.0,25.0
dyi,-17.8333333333,145.583333333
knm,14.5,37.0
yur,41.3333333333,-124.0
kha,47.0,105.0
mao,-40.0,176.0
fre,48.0,2.0
lez,41.6666666667,47.8333333333
imo,-3.33333333333,141.166666667
ika,10.6666666667,-73.75
nep,28.0,85.0
dni,-4.33333333333,138.833333333
orh,9.0,42.0
mal,-20.0,47.0
asm,-5.5,138.5
ame,-5.25,145.583333333
nmb,-14.0,-59.5
bsq,43.0,-3.0
cha,13.45,144.75
eve,56.0,125.0
kay,-17.05,139.5
swa,-6.5,39.0
kch,17.0,-3.0
prs,32.0,54.0
vie,10.5,106.5
dum,-2.68333333333,141.3
awp,1.5,-78.25
ain,43.0,143.0
bej,18.0,36.0
eka,-3.83333333333,135.5
mau,-11.9166666667,133.5
sup,11.5,-5.58333333333
niv,53.3333333333,142.0
ik,3.75,34.1666666667
wic,33.3333333333,-97.3333333333
tib,30.0,91.0
brm,21.0,96.0
yuc,35.75,-86.75
chk,67.0,-173.0
yaq,27.5,-110.25
yim,-4.66666666667,143.55
fur,13.5,25.0
yko,65.75,150.833333333
zun,35.0833333333,-108.833333333
rap,-27.1166666667,-109.366666667
san,5.0,18.0
geo,42.0,44.0
sdw,-5.0,35.0
war,-11.3333333333,-65.0
sla,67.0,-125.0
lav,-9.08333333333,159.2
hve,16.2166666667,-95.0
brr,-16.0,-57.0
wao,-1.0,-76.5
hun,47.0,20.0
zul,-30.0,30.0
goo,-18.3333333333,126.333333333
juh,-19.0,21.0
cyv,-13.5,-65.5
kew,-6.5,143.833333333
knd,14.0,76.0
win,41.0,-122.5
nuu,49.6666666667,-126.666666667
mar,33.1666666667,-113.166666667
ung,-16.3333333333,126.0
usa,-4.83333333333,145.166666667
abk,43.0833333333,41.0
mrt,-20.8333333333,116.5
yes,-4.16666666667,142.583333333
tru,-11.9166666667,-53.5833333333
aeg,30.0,31.0
pur,19.5,-101.666666667
arp,-3.46666666667,143.166666667
luv,-12.0,22.0
prh,-7.0,-62.0
hin,25.0,77.0
kut,49.5,-116.0
grr,-17.0833333333,137.166666667
nug,-13.75,135.666666667
wry,-13.1666666667,131.25
ijo,4.91666666667,5.66666666667
cnl,-7.0,-45.0
otm,20.1666666667,-99.1666666667
hau,12.0,7.0
mpa,-14.6666666667,129.666666667
lan,2.16666666667,33.0
hix,-1.0,-59.0
gua,-26.0,-56.0
grb,5.0,-8.0
kio,37.0,-99.0
grk,39.0,22.0
rus,56.0,38.0
ram,11.75,-83.75
ngi,-31.75,145.5
sml,3.0,103.0
jpn,37.0,140.0
krk,41.6666666667,-123.0
diy,-28.0,139.0
ton,30.25,-96.75
ond,43.0,-75.6666666667
ewe,6.33333333333,0.416666666667
jak,15.6666666667,-91.6666666667
mun,23.0,84.6666666667
bur,36.5,74.5
may,-1.33333333333,132.5
epe,3.0,-77.0
tli,59.0,-135.0
grw,64.0,-51.0
cre,54.0,-110.0
aco,34.9166666667,-107.583333333
ind,0.0,106.0
ala,-4.66666666667,143.333333333
fij,-17.8333333333,178.0
ger,52.0,10.0
tha,16.0,101.0
aym,-17.0,-69.0
mei,24.75,94.0
qui,47.9166666667,-124.25
hai,53.0,-132.0
ket,64.0,87.0
pau,-6.0,-64.0
myi,-14.6666666667,133.5
sue,-7.75,147.55
koa,34.8333333333,-85.1666666667
amp,-24.0,136.0
mnd,34.0,110.0
tag,15.0,121.0
brh,28.5,67.0
ing,43.1666666667,45.0833333333
kro,10.5,30.0
nar,15.0833333333,37.5833333333
bma,33.0,-5.0
spa,40.0,-4.0
hmo,28.0,105.0
snm,4.5,-64.6666666667
ntu,70.0,76.0
kho,-25.5,18.0
bag,11.6666666667,16.0
zqc,17.0,-93.25
eng,52.0,0.0
tiw,-11.5,131.0
coo,43.5,-124.166666667
mxc,17.05,-97.5833333333
wra,9.33333333333,-61.6666666667
