language,latitude,longitude
xoo,-24.0,21.5
ani,-18.9166666667,21.9166666667
abi,-29.0,-61.0
abk,43.0833333333,41.0
acm,41.5,-121.0
ach,-25.25,-55.1666666667
aco,34.9166666667,-107.583333333
adz,-6.25,146.25
agh,6.66666666667,10.0
aht,62.0,-145.0
aik,-12.6666666667,-60.6666666667
ain,43.0,143.0
aiz,5.25,-4.5
akn,6.5,-1.25
akw,6.0,-59.5
abm,32.3333333333,-87.4166666667
ala,-4.66666666667,143.333333333
alw,-15.1666666667,134.25
alb,41.0,20.0
aea,54.75,-164.0
ald,5.16666666667,-4.33333333333
amc,-10.5,-72.5
ame,-5.25,145.583333333
amh,10.0,38.0
amo,10.3333333333,8.66666666667
amu,-10.5,-75.4166666667
amz,16.8333333333,-98.0
adk,-0.666666666667,-72.0
ant,-7.21666666667,146.25
anc,9.5,9.5
ao,26.5833333333,94.6666666667
api,-5.5,-48.0
apu,-9.0,-67.0
arb,-2.0,-75.1666666667
aeg,30.0,31.0
ana,-12.3333333333,-67.75
arp,-3.46666666667,143.166666667
arc,42.0,46.8333333333
arm,40.0,45.0
amp,-24.0,136.0
asm,-5.5,138.5
ata,24.5,121.333333333
ava,42.5,46.5
awp,1.5,-78.25
awn,10.8333333333,36.6666666667
aym,-17.0,-69.0
aze,40.5,48.5
bag,11.6666666667,16.0
bai,26.0,100.0
baj,-4.33333333333,123.0
bki,-14.0,-55.0
bam,12.5,-7.5
byu,-27.9166666667,153.0
brd,-16.5833333333,122.916666667
brb,10.0,2.5
bsk,53.0,58.0
bsq,43.0,-3.0
bkr,3.25,98.25
bto,2.5,99.0
baw,22.5,92.25
bee,-3.91666666667,14.0833333333
bej,18.0,36.0
bco,52.5,-126.666666667
ben,24.0,90.0
bma,33.0,-5.0
ber,10.3333333333,34.6666666667
bir,9.66666666667,8.83333333333
bis,11.5,-0.5
bbf,12.4166666666667,-4.3333333333333
bod,26.8333333333,92.0
brr,-16.0,-57.0
brh,28.5,67.0
bra,14.1666666667,107.5
bre,48.0,-3.0
bri,9.41666666667,-83.0
brw,16.75,104.75
bul,42.5,25.0
bua,-12.25,134.583333333
brm,21.0,96.0
bur,36.5,74.5
bet,6.25,-6.25
cac,1.08333333333,-70.0
cad,33.3333333333,-93.5
cah,33.5,-116.25
cax,-12.0,-74.0
cam,1.16666666667,-77.0
cnl,-7.0,-45.0
cnt,23.0,113.0
car,5.5,-56.0
ctl,41.75,2.0
cay,0.666666666667,-79.0
cyv,-13.5,-65.5
chw,12.0,105.5
cha,13.45,144.75
cso,16.25,-97.3333333333
chl,46.5833333333,-123.0
che,35.5,-83.5
cck,34.0,-88.0
cti,23.3333333333,93.6666666667
cle,17.3333333333,-95.9166666667
chq,17.5833333333,-96.6666666667
chp,59.0,-106.0
cve,-6.11666666667,145.116666667
chk,67.0,-173.0
chv,55.5,47.5
cil,-6.0,22.0
ccp,32.3333333333,-115.0
cof,0.166666666667,-77.1666666667
cmn,33.5,-101.5
coo,43.5,-124.166666667
cre,54.0,-110.0
cub,1.33333333333,-70.5
dad,-6.55,144.583333333
dag,-10.0,149.333333333
dgb,9.58333333333,-0.5
dgr,48.0,124.0
dah,-2.33333333333,40.5
ddf,12.25,25.25
dan,7.5,-8.0
dnw,12.1666666667,18.3333333333
dni,-4.33333333333,138.833333333
dar,24.0,84.0
det,-20.5,24.5
die,32.6666666667,-116.166666667
din,8.5,28.0
dio,13.0,-16.25
diy,-28.0,139.0
diz,6.16666666667,36.5
djp,-12.6666666667,136.0
der,-3.58333333333,141.0
don,27.0,109.0
doy,8.66666666667,13.0833333333
dre,-21.0,167.25
dum,-2.68333333333,141.3
dyi,-17.8333333333,145.583333333
efi,4.91666666667,8.5
eja,5.41666666667,8.66666666667
eka,-3.83333333333,135.5
eng,52.0,0.0
epe,3.0,-77.0
evn,68.0,130.0
eve,56.0,125.0
ewe,6.33333333333,0.416666666667
ewo,4.0,12.0
eya,60.5,-145.0
fas,-6.58333333333,143.333333333
fef,5.25,10.1666666667
fij,-17.8333333333,178.0
fin,62.0,25.0
fre,48.0,2.0
ful,-8.0,-37.5
fur,13.5,25.0
fuz,26.0,119.5
fye,9.58333333333,9.33333333333
gds,-6.25,146.0
gar,25.6666666667,90.5
grr,-17.0833333333,137.166666667
gbb,6.66666666667,17.5
gla,22.9166666667,105.5
geo,42.0,44.0
ger,52.0,10.0
goa,12.0,-72.0
goo,-18.3333333333,126.333333333
gan,12.0,92.6666666667
grb,5.0,-8.0
grk,39.0,22.0
grw,64.0,-51.0
ghb,5.0,-69.0
gmb,2.5,-76.6666666667
gua,-26.0,-56.0
gwa,9.5,7.0
ga,5.66666666667,-0.166666666667
had,-3.75,35.1666666667
hai,53.0,-132.0
hak,25.0,116.0
hmr,5.0,36.5
ham,-7.5,146.25
hau,12.0,7.0
haw,19.5833333333,-155.5
hba,31.75,35.1666666667
hin,25.0,77.0
hix,-1.0,-59.0
hmo,28.0,105.0
hop,36.0,-110.0
htc,22.0833333333,-99.3333333333
hve,16.2166666667,-95.0
hum,-1.0,-73.5
hun,47.0,20.0
hzb,42.1666666667,46.25
hup,41.0833333333,-123.666666667
