,language_name,latitude,longitude,genus,family,1A,2A,3A,4A,5A,6A,7A,8A,10A,11A,12A,13A,18A,19A,9A,20A,21A,21B,26A,28A,29A,14A,15A,16A,22A,23A,24A,25A,25B,27A,17A,10B
xoo,!Xóõ,-24.0,21.5,Tu,Tu,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 6, 'description': 'Ejectives and glottalized resonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 2, 'description': 'Clicks'}",,,,,,,,,,,,,,,,,,
ani,//Ani,-18.9166666667,21.9166666667,Khoe-Kwadi,Khoe-Kwadi,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 2, 'description': 'Clicks'}",,,,,,,,,,,,,,,,,,
abi,Abipón,-29.0,-61.0,Abipon,Guaicuruan,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}",,"{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 2, 'description': 'Strongly suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 2, 'description': 'Syncretic'}",,,,,,,,,,,
abk,Abkhaz,43.0833333333,41.0,Northwest Caucasian,Northwest Caucasian,"{'value': 5, 'description': 'Large'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 5, 'description': 'High'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 2, 'description': 'Uvular stops only'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 2, 'description': '/l/, no obstruent laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 4, 'description': 'Pharyngeals'}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 1, 'description': 'monoexponential TAM'}","{'value': 4, 'description': 'Equal prefixing and suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}","{'value': 1, 'description': 'No fixed stress'}","{'value': 7, 'description': 'Not predictable'}","{'value': 6, 'description': 'Lexical stress'}","{'value': 6, 'description': '10-11 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}","{'value': 1, 'description': 'Productive full and partial reduplication'}",,
acm,Achumawi,41.5,-121.0,Achumawi,Hokan,"{'value': 2, 'description': 'Moderately small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 3, 'description': 'Average'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}",,"{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
ach,Aché,-25.25,-55.1666666667,Maweti-Guarani,Tupian,"{'value': 1, 'description': 'Small'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 3, 'description': 'Laterals, but no /l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'Simple'}",,"{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
aco,Acoma,34.9166666667,-107.583333333,Keresan,Keresan,"{'value': 5, 'description': 'Large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 5, 'description': 'High'}","{'value': 1, 'description': 'No voicing contrast'}","{'value': 1, 'description': 'Other'}","{'value': 1, 'description': 'Nan'}","{'value': 6, 'description': 'Ejectives and glottalized resonants'}","{'value': 1, 'description': 'No laterals'}","{'value': 2, 'description': 'Contrast absent'}","{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 3, 'description': 'Complex tone system'}","{'value': 1, 'description': 'All present'}","{'value': 5, 'description': ""'Th' sounds""}","{'value': 3, 'description': 'No velar nasal'}","{'value': 1, 'description': 'Exclusively concatenative'}","{'value': 5, 'description': 'No case'}","{'value': 2, 'description': 'TAM+agreement'}","{'value': 4, 'description': 'Equal prefixing and suffixing'}","{'value': 1, 'description': 'No case marking'}","{'value': 3, 'description': 'Not syncretic'}",,,,"{'value': 3, 'description': '4-5 categories per word'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head marking'}","{'value': 1, 'description': 'Head-marking'}","{'value': 2, 'description': 'Non-zero marking'}",,,
adz,Adzera,-6.25,146.25,Oceanic,Austronesian,"{'value': 2, 'description': 'Moderately small'}","{'value': 1, 'description': 'Small (2-4)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 2, 'description': 'In plosives alone'}","{'value': 2, 'description': 'None missing in /p t k b d g/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 1, 'description': 'No laterals'}",,"{'value': 1, 'description': 'Nan'}",,,"{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
agh,Aghem,6.66666666667,10.0,Wide Grassfields,Niger-Congo,"{'value': 3, 'description': 'Average'}","{'value': 3, 'description': 'Large (7-14)'}","{'value': 2, 'description': 'Moderately low'}","{'value': 4, 'description': 'In both plosives and fricatives'}","{'value': 3, 'description': 'Missing /p/'}","{'value': 1, 'description': 'Nan'}","{'value': 1, 'description': 'No glottalized consonants'}","{'value': 2, 'description': '/l/, no obstruent laterals'}",,"{'value': 1, 'description': 'Nan'}","{'value': 2, 'description': 'Moderately complex'}","{'value': 2, 'description': 'Simple tone system'}","{'value': 1, 'description': 'All present'}","{'value': 3, 'description': 'Labial-velars'}",,,,,,,,,,,,,,,,,,
aht,Ahtna,62.0,-145.0,Athapaskan,Na-Dene,"{'value': 4, 'description': 'Moderately large'}","{'value': 2, 'description': 'Average (5-6)'}","{'value': 4, 'description': 'Moderately high'}","{'value': 3, 'description': 'In fricatives alone'}","{'value': 1, 'description': 'Other'}","{'value': 4, 'description': 'Uvular stops and continuants'}","{'value': 2, 'description': 'Ejectives only'}","{'value': 5, 'description': 'No /l/, but lateral obstruents'}",,"{'value': 1, 'description': 'Nan'}","{'value': 3, 'description': 'Complex'}","{'value': 1, 'description': 'No tones'}","{'value': 1, 'description': 'All present'}","{'value': 1, 'description': 'Nan'}",,,,,,,,,,,,,,,,,,
